_id,Dependencias y entidades del GobOax,De base hombres,De base mujeres,De base total,Contrato Hombres,Contrato mujeres,Contrato total,Confianza hombres,Confianza Mujeres,Confianza total,Contrato confianza hombres,Contrato confianza Mujeres,Contrato confianza total,Mandos medios y superiores hombres,Mandos medios y superiores mujeres,Mandos medios y superiores total,Hombres subtotal,Mujeres subtotal,Subtotal,Haberes cuerpos policiacos hombres,Haberes cuerpos policiacos mujeres,Haberes cuerpos policiacos total,Total general hombres,Total general mujeres,Total General
1,Gubernatura,103,116,219,3,2,5,3,4,7,60,50,110,59,36,95,0228-03-07T00:00:00,0208-03-07T00:00:00,436,0,0,0,228,0208-03-07T00:00:00,436
2,Secretaría General de Gobierno,462,698,"1,160",10,24,34,150,106,256,68,47,115,148,53,201,0838-03-07T00:00:00,0928-03-07T00:00:00,"1,766",0,0,0,838,0928-03-07T00:00:00,"1,766"
3,Procuraduría General de Justicia del Estado,160,201,361,4,11,15,"1,388",575,"1,963",25,29,54,121,66,187,0698-01-07T00:00:00,0882-03-07T00:00:00,"2,580",0,0,0,"1,698",0882-03-07T00:00:00,"2,580"
4,Secretaría de Seguridad Publica,201,356,557,5,6,11,117,54,171,273,127,400,234,159,393,0830-03-07T00:00:00,0702-03-07T00:00:00,"1,532","5,242","1,049","6,291","6,072",0751-01-07T00:00:00,"7,823"
5,Sría de las Infraestructuras y el Ordenamiento Territorial Sustent.,696,399,"1,095",3,3,6,30,8,38,22,15,37,67,16,83,0818-03-07T00:00:00,0441-03-07T00:00:00,"1,259",0,0,0,818,0441-03-07T00:00:00,"1,259"
6,Secretaría de Tursimo y Desarrollo Económico,184,267,451,5,9,14,20,27,47,20,36,56,59,49,108,0288-03-07T00:00:00,0388-03-07T00:00:00,676,0,0,0,288,0388-03-07T00:00:00,676
7,Secretaría del Trabajo,60,89,149,15,18,33,24,23,47,12,13,25,19,11,30,0130-03-07T00:00:00,0154-03-07T00:00:00,284,0,0,0,130,0154-03-07T00:00:00,284
8,Secretaría de las Culturas y Artes de Oaxaca,165,159,324,8,7,15,75,11,86,60,16,76,19,12,31,0327-03-07T00:00:00,0205-03-07T00:00:00,532,0,0,0,327,0205-03-07T00:00:00,532
9,Secretaría de Desarrollo Social y Humano,163,183,346,15,14,29,27,14,41,62,53,115,106,37,143,0373-03-07T00:00:00,0301-03-07T00:00:00,674,0,0,0,373,0301-03-07T00:00:00,674
10,Secretaría de Asuntos Indígenas,43,67,110,6,9,15,93,94,187,29,25,54,30,11,41,0201-03-07T00:00:00,0206-03-07T00:00:00,407,0,0,0,201,0206-03-07T00:00:00,407
11,Sría. de Desarrollo Agropecuario Forestal y Pesca,500,293,793,3,5,8,24,12,36,45,22,67,57,16,73,0629-03-07T00:00:00,0348-03-07T00:00:00,977,0,0,0,629,0348-03-07T00:00:00,977
